Number;Date;UID;Desc;Group;Cat
1292346;24.08.2022 15:56;592c0ef3-2239-4d8f-9d28-dd94d6633825;Отремонтировать спорт. элемент на детск. площадке( серо-синего цвета);Управление домом;Благоустройство
1292971;26.08.2022 8:22;ccaf80ae-2c1f-45fc-8146-21b1f5b1305b;Ремонт мет. качели во дворе ;Управление домом;Благоустройство
1293012;26.08.2022 9:39;a8bb2035-06a0-49ba-aef6-f4f9712ab024;Ремонт скамейки возле 6 подъезда ;Управление домом;Благоустройство
1293590;29.08.2022 9:05;b27e559a-9b5a-42cd-9ce6-3c5032918cf5;Отремонтировать качели на детской площадке.;Управление домом;Благоустройство
1297500;09.09.2022 9:52;2cd0c73d-4576-4563-8dbc-13226e6f616f;Спилить дерево около первого подъезда, так как ветви бьют по окнам второго и третьего этажей.;Управление домом;Благоустройство
1301910;21.09.2022 8:35;ee7d4dd6-8a4d-4df0-aeaf-787e76525cbd;Укрепить игровые счеты на детской площадке;Управление домом;Благоустройство
1319848;21.10.2022 18:05;a4eeb80a-724c-43b2-9ac0-3752e607c28d;у 8 подъезда установить на место лавочку ;Управление домом;Благоустройство
1113630;21.09.2021 7:23;38f8b40a-bb72-4828-a37d-101231ebba95;засор кнс в подвале;Управление домом;Водоотведение (Засор)
1113647;21.09.2021 8:53;c5611bc8-bdb7-4245-8465-91ded2273592;В подъезде № 1  засор кнс  по сттояку кв 1,проверить все квартиры по стояку;Управление домом;Водоотведение (Засор)
1152415;30.11.2021 8:38;a913f037-5073-478c-8777-24ef9769e6ae;Засор КНС сан.узел;Управление домом;Водоотведение (Засор)
1152472;30.11.2021 10:52;c2a0aedf-09fc-441d-bbee-7905faf77ada;Течь КНС в подвале подъезда №2;Управление домом;Водоотведение (Засор)
1152603;30.11.2021 16:09;8a5ba34e-98b2-42dd-8ee7-a83e2fc69efa;Засор КНС сан.узел;Управление домом;Водоотведение (Засор)
1152856;2021-12-02 07:22:06.089;f6dc9db7-9996-4605-88c3-a45d6760f708;Решить проблему по прочистки стояка КНС на кухне;Управление домом;Водоотведение (Засор)
1153192;04.12.2021 9:00;1c7122b4-3065-41d7-831e-426f88f91306;Засор КНС на кухне;Управление домом;Водоотведение (Засор)
1153195;2021-12-04 09:28:04.042;d66b23d1-04ca-490d-ad27-ae11032c53ed;Засор КНС  сан.узел;Управление домом;Водоотведение (Засор)
1153207;2021-12-04 12:35:56.057;7341f0c1-d066-4379-8a96-fd6baf55c347;Засор КНС в подвале подъезда №3;Управление домом;Водоотведение (Засор)
1153288;05.12.2021 23:02;73385327-dc4d-4528-9292-a58cbb27bab2;Засор КНС ;Управление домом;Водоотведение (Засор)
1153740;08.12.2021 8:08;90cff60a-b1ee-4220-8729-62d40b64626e;засор КНС ;Управление домом;Водоотведение (Засор)
1162206;2022-01-25 11:52:58.000;1a17464f-4ce7-4d01-bd3e-f1f0cb135fe8;засор кнс;Управление домом;Водоотведение (Засор)
1198787;07.04.2022 12:15;410fb04e-4b80-4906-93c2-e456850120c2;че делается то???;Диспетчеризация;Восстановление связи
1192328;15.03.2022 13:45;3305e947-6dbe-43ed-9e6e-c357f4c93b45;после вывоза мусора поставить контейнер обратно ;Управление домом;Вывоз мусора
1193203;18.03.2022 15:23;1ffbc894-9192-48ca-91c6-fd724087f909;Вывезти КГ мусор с мусорной площадки;Управление домом;Вывоз мусора
1194768;24.03.2022 15:27;e8529648-511e-4e1d-a46b-d9f3379c5246;Вывезти КГМ от подъезда №4;Управление домом;Вывоз мусора
1200373;2022-04-12 08:34:47.000;90d1cab6-1aa0-4c28-9df9-01f930e6dede;распил деревьев погрузка  веток;Управление домом;Вывоз мусора
1205769;27.04.2022 14:53;f2ec1d70-7902-4917-b5d4-048a555f2275;Собрать весь мусор около мус/баков;Управление домом;Вывоз мусора
1206387;29.04.2022 9:26;4fe4df43-8186-4383-81b0-7f3fb56b1e54;Убрать мусор с урн на д/пл за домом Свирская 27а;Управление домом;Вывоз мусора
1207496;04.05.2022 18:37;7fb5d44b-ddc9-4667-a0ea-4ab8ebc5c1dd;Вывезти мусор после субботника с придом. территории;Управление домом;Вывоз мусора
1208498;07.05.2022 10:22;1246bbc9-91c0-4cce-80be-25fae256e174;Вывезти мусор на придомовой территории после субботника;Управление домом;Вывоз мусора
1274594;06.07.2022 8:07;ad97b8ee-4aa8-4293-a820-2249bf190ca8;Вывезти ТБО от мусорных контейнеров;Управление домом;Вывоз мусора
1276913;12.07.2022 13:07;47a84439-bd30-45fd-af3f-cac6e7b64888;Убрать мусор около леса после контейнера который переместился на участок Ленина 37;Управление домом;Вывоз мусора
1277804;2022-07-15 07:42:46.000;0d67533c-c3de-4ca9-a728-d82f3ee96a98;Забит мусоропровод на 2 эт  2 подъезда;Управление домом;Вывоз мусора
1283048;2022-07-28 11:06:35.044;86bca579-b588-4f5b-8d3e-4c32a0ad027f;Вывезти срезанную черемуху и ветки;Управление домом;Вывоз мусора
1286796;09.08.2022 8:24;c3c5b337-940e-4bf3-af7c-4c3c92992c05;Убрать мусор с придом. территории после ремонта кровли;Управление домом;Вывоз мусора
1288190;12.08.2022 8:18;b13bba64-2e2c-4b47-91c1-5a741088977c;На мусорной площадке установить мус. контейнер желтого цвета. Убрать вокруг этой площадки высохшие ветки и мусор-есть опасность возгорания.;Управление домом;Вывоз мусора
1294027;30.08.2022 9:11;ee7d4dd6-8a4d-4df0-aeaf-787e76525cbd;Вывоз КБО мусора и убрать мусор под балконом ;Управление домом;Вывоз мусора
1301191;19.09.2022 15:10;ce5ade5d-1b43-44ef-9829-9008158adcbb;Полные урны перед подъездами, растаскивают мусор собаки;Управление домом;Вывоз мусора
1307875;05.10.2022 8:38;86bca579-b588-4f5b-8d3e-4c32a0ad027f;Не вывозится мусор ,складируется возле подъездов;Управление домом;Вывоз мусора
1320806;25.10.2022 8:05;60081b82-463a-43fc-ac41-9af2d89cac7f;Вывезти мусор с угла дома;Управление домом;Вывоз мусора
1320841;25.10.2022 8:33;b13bba64-2e2c-4b47-91c1-5a741088977c;Убрать мусор с угла дома;Управление домом;Вывоз мусора
1321152;25.10.2022 14:34;b13bba64-2e2c-4b47-91c1-5a741088977c;Убрать мусор с торца дома;Управление домом;Вывоз мусора
1323526;31.10.2022 18:17;b13bba64-2e2c-4b47-91c1-5a741088977c;Вывезти мусор ( рядом с крыльцом Почты);Управление домом;Вывоз мусора
1342511;20.12.2022 15:46;3ccb8813-62a8-4136-b7cd-923a55f34174;Вынести КГ мусор из подъездов;Управление домом;Вывоз мусора
1201137;14.04.2022 8:46;83b8a503-2920-496a-8bfe-896c68225e8b;Запах газа в 8 подъезде;Управление домом;Газоснабжение
1202689;19.04.2022 8:24;ea25fc8c-bcae-44e4-a669-8c57a32f5351;Запах газа в тамбуре 3-го подъезда;Управление домом;Газоснабжение
1204412;23.04.2022 11:42;2508d377-c5bf-4aee-94cd-a56b61903a4c;Запах газа на 1э в 3-м подъезде;Управление домом;Газоснабжение
1206638;29.04.2022 19:06;83b8a503-2920-496a-8bfe-896c68225e8b;п № 7 запах газа по подъезду;Управление домом;Газоснабжение
1207119;03.05.2022 10:25;9f8c4b9c-80e1-48b2-af6b-9388dfa4331c;Сильный запах газом в 3 подъезде на 1 этаже;Управление домом;Газоснабжение
1254867;23.05.2022 19:15;f6dc9db7-9996-4605-88c3-a45d6760f708;При входе в 4 подъезд запах газа;Управление домом;Газоснабжение
1258839;26.05.2022 18:18;89047c9b-b64c-4839-80c5-de8d47312c7e;Пахнет газом во 2 подъезде ;Управление домом;Газоснабжение
1259932;31.05.2022 21:27;a7ac2f9d-fd78-49df-81e0-191ee192f11d;Запах газа 1 подъ.;Управление домом;Газоснабжение
1274183;04.07.2022 15:21;33f95f77-1ae1-4c77-a06d-1f6de00df17c;Запах газа в 3 подъезде;Управление домом;Газоснабжение
1279496;20.07.2022 8:33;33f95f77-1ae1-4c77-a06d-1f6de00df17c;Запах газа в 1 подъезде при входе;Управление домом;Газоснабжение
1286228;2022-08-07 10:32:34.065;f6dc9db7-9996-4605-88c3-a45d6760f708;Запах газа в подъезде около двери кв  112;Управление домом;Газоснабжение
1287475;10.08.2022 11:22;b27e559a-9b5a-42cd-9ce6-3c5032918cf5;Замена газового крана;Управление домом;Газоснабжение
1292820;25.08.2022 14:27;2a26953f-4b1c-42b2-9953-72372ba80d4b;В 3 подъезде запах газа;Управление домом;Газоснабжение
1301165;19.09.2022 14:42;b4a39f81-ece2-4a8d-b437-8342fa6b31ca;Не работает газ.плита ;Управление домом;Газоснабжение
1304958;29.09.2022 16:24;9b8a81c4-05cc-4261-932f-b5ffed647a7a;Запах газа в квартире или подъезде;Управление домом;Газоснабжение
1305587;01.10.2022 17:18;2be2b4bb-a792-4991-84c6-6894065a986e;Запах Газа в 4 подъезде ;Управление домом;Газоснабжение
1333117;2022-11-26 14:44:09.078;e0fa6e5a-8a6a-4ea2-a984-b45b156c5d45;Сильный запах газом в тамбуре 2 подъезда;Управление домом;Газоснабжение
1333262;27.11.2022 11:58;8824571e-c53b-4c21-a027-9b48ae1ed697;п № 2 запах газа  в подъезде на 1 эт;Управление домом;Газоснабжение
1342560;20.12.2022 16:46;0eae3ea4-d99e-4c91-a958-da90aa54977d;в 1 подъезде на 1эт Пахнет газом ;Управление домом;Газоснабжение
1113177;2021-07-31 12:48:05.013;b963a392-4802-460a-97eb-4028819de201;Промышленная 78, 4-ый подъезд. 1) Сломался доводчик домофонной двери.  2) При открывании домофонная дверь задевает пол.;Управление домом;Дверные заполнения (входные двери в подъездах)
1152467;30.11.2021 10:39;db1e7fd4-7f85-472a-a1e1-246f21de4791;Деревянная внутренняя дверь во втором подъезде сильно хлопает. Отремонтировать доводчик;Управление домом;Дверные заполнения (входные двери в подъездах)
1152705;2021-12-01 09:39:36.022;5b14846c-c9b9-4aee-8e25-54290b9b4678;Сильно хлопает домофонная дверь;Управление домом;Дверные заполнения (входные двери в подъездах)
1153003;02.12.2021 15:55;4274d56e-dfd2-4216-922b-907c4bba6772;Не работает кодовый замок на входной железной двери 1 подъезда, устранить проблему;Управление домом;Дверные заполнения (входные двери в подъездах)
1153106;03.12.2021 11:04;5b14846c-c9b9-4aee-8e25-54290b9b4678;Установить уплотнитель и утеплитель на входн. дверь в 1-й подъезд;Управление домом;Дверные заполнения (входные двери в подъездах)
1154045;09.12.2021 15:52;44101915-fb68-41f3-b705-c6df823b428e;Запенить  щели под железной входной дверью подъезда,  сильно дует в подъезд.;Управление домом;Дверные заполнения (входные двери в подъездах)
1154850;2021-12-14 16:23:09.000;ad97b8ee-4aa8-4293-a820-2249bf190ca8;Заделать проем в подвале кирпичем;Управление домом;Дверные заполнения (входные двери в подъездах)
1159384;2022-01-11 15:57:59.000;8bc8ad35-97c2-4c5a-b06c-a20865d1cc94;установка навесного замка на выход кровлю;Управление домом;Дверные заполнения (входные двери в подъездах)
1160358;2022-01-17 08:49:46.000;89047c9b-b64c-4839-80c5-de8d47312c7e;установка шпингалетов на тамбурную дверь 6 подъезд;Управление домом;Дверные заполнения (входные двери в подъездах)
1162461;26.01.2022 11:37;ae9b423a-3e20-48c5-803c-1f3631b40e05;Ремонт тамб. двери во 2 подъезде;Управление домом;Дверные заполнения (входные двери в подъездах)
1289730;17.08.2022 9:35;ea25fc8c-bcae-44e4-a669-8c57a32f5351;Поморить мышей в подвале.;Управление домом;Дезинфекция
1292076;24.08.2022 8:50;ea25fc8c-bcae-44e4-a669-8c57a32f5351;Обработать подвал  от мышей;Управление домом;Дезинфекция
1293938;29.08.2022 17:19;96a9bc79-b44c-446e-a71f-62ab0f7a6784;Обработать подвал от блох;Управление домом;Дезинфекция
1293939;29.08.2022 17:40;96a9bc79-b44c-446e-a71f-62ab0f7a6784;Обработать подвал от блох;Управление домом;Дезинфекция
1296084;05.09.2022 18:39;66ce90d6-7089-46d7-9863-8a9676c35fd3;Обработать подвал во 2-м подъезде хлоркой;Управление домом;Дезинфекция
1293322;26.08.2022 17:54;8bc8ad35-97c2-4c5a-b06c-a20865d1cc94;Не работает домофон в подъезде №1;Управление домом;Домофоны
1325790;08.11.2022 9:48;4b9d5ee8-bf94-4e50-9682-e59e935656d0;Произвести смену кода на домофоне во 2-м подъезде. Нужны 5 домоф. ключей.;Управление домом;Домофоны
1188547;28.02.2022 19:02;ae960d99-184a-4279-adab-dcf5d664ffda;М/У 9,8,7 эт засор мусоропровода;Управление домом;Забит мусоропровод
1191002;10.03.2022 14:20;e226800b-6abb-434f-8e09-4332522ba731;Забит мусоропровод  м/у 3 и 4 эт;Управление домом;Забит мусоропровод
1191073;10.03.2022 18:09;7786df21-4a2e-4e98-980e-c473f0692195;Пробить мусоропровод на 8 этаже 1 подъезда.;Управление домом;Забит мусоропровод
1191318;11.03.2022 12:59;8a139af6-8468-44bd-88fc-32883fe64ef0;В 1 под. на 6 этаже забит мусоропровод;Управление домом;Забит мусоропровод
1192690;16.03.2022 16:19;a4b0fada-c9b5-4822-bc5e-5eb22a471293;1под м/у 4 эт,3  под м/у 6 и 7 эт - забит мусоропровод;Управление домом;Забит мусоропровод
1192716;16.03.2022 19:18;84e00017-87df-4208-8884-7fba89c35724;П № 1 на 8 эт забит мусоропровод;Управление домом;Забит мусоропровод
1193141;18.03.2022 11:05;a4b0fada-c9b5-4822-bc5e-5eb22a471293;Забит мусоропровод в под. №3 на 6 этаже;Управление домом;Забит мусоропровод
1193193;18.03.2022 14:15;a61f5fdd-2e1e-4a80-a212-2b8c72a63a49;Забит мусоропровод на 6 этаже во втором подъезде;Управление домом;Забит мусоропровод
1196051;29.03.2022 21:14;62f5beff-2753-490c-8115-01cfa320ee40;п № 4 на 4 эт забит мусоропровод;Управление домом;Забит мусоропровод
1196268;30.03.2022 16:16;62f5beff-2753-490c-8115-01cfa320ee40;В 4 подъезде на 4 этаже прочистить мусоропровод.;Управление домом;Забит мусоропровод
1196547;31.03.2022 17:35;62f5beff-2753-490c-8115-01cfa320ee40;Забит мусоропровод на 6 этаже. Переделать люк мусороприемника ;Управление домом;Забит мусоропровод
1198621;06.04.2022 19:38;21a3a182-46c1-4ba7-bc91-1512b1197bea;Забит мусоропровод  с 8 этажа и ниже;Управление домом;Забит мусоропровод
1200155;11.04.2022 14:40;727ce93c-1e4a-43e7-a9a4-07274dabe8a1;Забит мусоропровод на 4 эт во 2-м подъезде;Управление домом;Забит мусоропровод
1113632;21.09.2021 7:43;3c225aac-c0fa-4555-ad3f-26edc8f30ce3;течь унитаза;Сантехника;Замена арматуры с/б
1193165;18.03.2022 12:17;5ded25a9-0fd5-488f-9fdc-12a4cb0afc9a;Засор КНС в подвале;Управление домом;Засор канал
1193178;18.03.2022 13:14;c5611bc8-bdb7-4245-8465-91ded2273592;Засор в унитазе-поднимается вода;Управление домом;Засор канал
1193567;21.03.2022 9:43;3305e947-6dbe-43ed-9e6e-c357f4c93b45;В кухне в раковине плохо уходит вода;Управление домом;Засор канал
1193718;21.03.2022 14:58;ae669ab8-4463-4b94-96ac-ae9ab6768790;Засор КНС в группе на 2 этаже;Управление домом;Засор канал
1193887;22.03.2022 9:11;8824571e-c53b-4c21-a027-9b48ae1ed697;Сильный запах канализации из подвала;Управление домом;Засор канал
1193942;22.03.2022 10:35;9b8a81c4-05cc-4261-932f-b5ffed647a7a;Поднимается вода в унитазе. Проверить на засор.;Управление домом;Засор канал
1193980;22.03.2022 12:29;cdfdc1fc-3347-4c15-b5a6-1f23a6ed3e77;Засор КНС;Управление домом;Засор канал
1194003;22.03.2022 13:39;9884e4a6-2ce4-485b-913d-8e75c7779302;Засор в унитазе;Управление домом;Засор канал
1194021;22.03.2022 14:22;afb28d8b-9e9a-4e83-9194-a3bd354ed137;Засор КНС в ванной и в туалете, не уходит вода;Управление домом;Засор канал
1194068;22.03.2022 16:39;167a1df1-882a-439a-8119-19991d89d7c6;Засор КНС на кухне;Управление домом;Засор канал
1194147;23.03.2022 8:03;18b8ff66-91b3-4175-b08b-c2515e648b4b;Засор унитазов на 2  и 1 этажах;Управление домом;Засор канал
1194220;2022-03-23 09:55:19.051;3305e947-6dbe-43ed-9e6e-c357f4c93b45;Засор КНС, булькает в раковине на кухне;Управление домом;Засор канал
1194824;24.03.2022 20:28;98b8018a-2b0f-466a-a139-25fd890b7fed;Засор КНС в ванной ;Управление домом;Засор канал
1194919;25.03.2022 9:47;12c72a4c-5d75-4bf0-998a-65baaac54fa7;Засор КНС в группе;Управление домом;Засор канал
1194986;25.03.2022 11:38;a30afb8a-c937-4893-9fb5-bc3aa732cb9b;Засор КНС  в туалете и в ванной. Поднимается вода.;Управление домом;Засор канал
1195246;26.03.2022 15:39;d3a20645-d142-427d-8b61-377ae1dc16b8;Засор КНС во всех унитазах на 2 этаже;Управление домом;Засор канал
1195249;26.03.2022 16:22;90ce59da-459a-42b4-a0aa-e35982ee91fc;в подвале второго подъезда засор КНС;Управление домом;Засор канал
1195468;28.03.2022 8:42;5df31114-6849-4960-83a4-a7dcb00a1d41;Засор в моечных 4-х групп на 2 этаже;Управление домом;Засор канал
1195602;28.03.2022 13:06;78416670-c451-4304-8440-97194eb76382;Засор в подвале;Управление домом;Засор канал
1196071;30.03.2022 8:20;a92e105e-0757-4327-96f8-6e395529eb41;Засор унитаза на 1 этаже;Управление домом;Засор канал
1196126;30.03.2022 10:54;4e446aea-4a61-4693-993c-85c4ebad3cea;Засор КНС в туалете;Управление домом;Засор канал
1196130;30.03.2022 11:01;7d118324-b82f-4458-8a72-f323e7bbeaff;Засор КНС на кухне в раковине;Управление домом;Засор канал
1196154;30.03.2022 11:39;727ce93c-1e4a-43e7-a9a4-07274dabe8a1;Шум и неприятный запах из труб под раковиной на кухне. Устранить проблему.;Управление домом;Засор канал
1197109;02.04.2022 10:21;1a17464f-4ce7-4d01-bd3e-f1f0cb135fe8;Засор КНС на кухне;Управление домом;Засор канал
1197218;02.04.2022 14:30;90d1cab6-1aa0-4c28-9df9-01f930e6dede;Засор общ. стояка КНС. АДС-требуется механ. прочистка.;Управление домом;Засор канал
1197220;2022-04-02 14:37:14.088;19e86cdf-083f-4f4f-a059-9d8caaa71132;Засор КНС в туалете;Управление домом;Засор канал
1197351;03.04.2022 10:12;bf2f1a61-17fe-422b-8c69-3f8adcf97125;Засор КНС на кухне в раковине;Управление домом;Засор канал
1197395;2022-04-03 13:54:08.080;fe6bc411-d85b-4723-83e6-4ef7769b2ef1;Засор КНС: не уходит вода из раковины на кухне при работе стиральной машины;Управление домом;Засор канал
1197401;03.04.2022 14:14;ae5cdc47-5068-4ff9-8a5e-6c6ec0572d3d;Сильный запах канализации из подвала;Управление домом;Засор канал
1197412;03.04.2022 15:05;5feab01a-d42f-4d29-8c9e-9f5013daa027;Засор КНС в подвале 3-го подъезда;Управление домом;Засор канал
1197417;03.04.2022 15:44;ae5cdc47-5068-4ff9-8a5e-6c6ec0572d3d;АДС-требуется механ. прочистка засора КНС;Управление домом;Засор канал
1197812;04.04.2022 15:55;9b8a81c4-05cc-4261-932f-b5ffed647a7a;Течь КНС в туалете, затопили соседей снизу;Управление домом;Засор канал
1198363;2022-04-06 09:05:44.064;9202f991-9c49-4113-bd4f-54b01a0b19ae;Засор КНС  в умывальной;Управление домом;Засор канал
1198518;06.04.2022 14:54;92a6d9c7-6251-43ff-a6f1-10eb04b138dc;Засор КНС в туалете;Управление домом;Засор канал
1198555;06.04.2022 16:40;f6dc9db7-9996-4605-88c3-a45d6760f708;Засор  общего стояка КНС по кухне;Управление домом;Засор канал
1198592;2022-04-06 16:55:40.099;a720fc3e-977c-4a64-8b26-63ca17d98df0;Засор КНС м/у кухней и ванной;Управление домом;Засор канал
1198675;07.04.2022 8:35;d6b3bdfa-e147-46a1-bee9-5e3cf638564a;Засор КНС в санузле. Поднимается  вода в унитазе и в ванне;Управление домом;Засор канал
1198760;07.04.2022 11:07;97431017-d37c-4478-b319-6a4530b787f0;Течь КНС в подвале;Управление домом;Засор канал
1198762;07.04.2022 11:09;18b8ff66-91b3-4175-b08b-c2515e648b4b;Засор КНС на 3 эт;Управление домом;Засор канал
1198820;07.04.2022 13:43;ad8b4af1-bb19-40f9-8209-914b83aced1f;Засор  КНС. Из  ванной и из унитаза в туалете  сильно течет  вода. Могут затопить цокольный этаж-аптеку;Управление домом;Засор канал
1199325;08.04.2022 9:41;2f1f5002-c15e-4669-82b9-155ab375eb81;Засор КНС в группе и в туалете, и вмоечной;Управление домом;Засор канал
1199335;08.04.2022 9:57;018ecc3b-cfcc-40d0-a1a2-baf369baac27;Засор раковины на кухне;Управление домом;Засор канал
1199407;08.04.2022 13:02;f6dc9db7-9996-4605-88c3-a45d6760f708;Засор КНС на кухне, вода не уходит из раковины;Управление домом;Засор канал
1199872;11.04.2022 8:27;d8d75ec2-60b8-4d33-b485-2bf0a0de0ca9;Засор КНС в подвале ;Управление домом;Засор канал
1199899;11.04.2022 9:09;78416670-c451-4304-8440-97194eb76382;Засор на первом этаже в раковине возле столовой. ;Управление домом;Засор канал
1199911;11.04.2022 9:26;9d90869f-de9e-44f4-b730-60796338be02;Сильный запах канализации. Проверить подвалы на засор.;Управление домом;Засор канал
1199916;11.04.2022 9:28;ebddf3e7-79fe-42e2-9ade-ba435b8f8115;Засор КНС на кухне;Управление домом;Засор канал
1199986;11.04.2022 10:35;38cb4776-9220-4826-bed3-b92d69f91b59;Засор КНС;Управление домом;Засор канал
