Number;Date;UID;Desc
1346410;02.01.2023 10:51;9fd51105-5a87-495c-b8b6-2daf596d6c4a;Засор мусоропровода на 2 этаже
1346413;02.01.2023 10:53;a3b02e79-7d70-423f-b318-5d1516f2a9a2;Течь с кровли на л/площадке 9 этажа на эл.щиток
1346419;02.01.2023 11:14;2508d377-c5bf-4aee-94cd-a56b61903a4c;Течь с кровли с потолка и по стене туалета
1346421;02.01.2023 11:17;2508d377-c5bf-4aee-94cd-a56b61903a4c;Течь с кровли с потолка и по стене туалета
1346424;02.01.2023 11:22;79634954-aa18-4124-b5d3-dd315e5812e2;Течь с кровли в маленькой комнате и в туалете
1346427;02.01.2023 11:32;bcac47bf-20b0-46ed-a28e-f259668baf93;Течь с кровли в прихожей квартиры на счетчик  и по стене подъезда на 5 этажа
1346429;02.01.2023 11:41;dbcc26db-7555-4c26-8253-6d0df1ab70ca;Мехуборка придомовой территории
1346431;02.01.2023 11:50;ea97fdaf-3f42-4ae8-955f-8d14d6df984c;Засор мусоропровода м\у 5 и 6 этажами.
1346465;2023-01-02 12:02:34.076;89047c9b-b64c-4839-80c5-de8d47312c7e;Нет э\снабжение в квартире, автоматы не реагируют.
1346467;02.01.2023 12:06;e1c2cbeb-641a-476b-9206-6b710cede2ae;Течь с кровли по стене квартиры и по стене подъезда на интернат-кабели
1346471;02.01.2023 12:14;7fb5d44b-ddc9-4667-a0ea-4ab8ebc5c1dd;Мехуборка  придомовой территории
1346473;02.01.2023 12:23;79634954-aa18-4124-b5d3-dd315e5812e2;Течь с кровли в комнате, в туалете и в коридоре секции.
1346475;02.01.2023 12:42;3305e947-6dbe-43ed-9e6e-c357f4c93b45;Течь с кровли по стене и с потолка туалета.
1346476;02.01.2023 12:50;c5534648-b719-4dfe-8530-6498a4c086d4;Течь  с кровли на л\площадке 9 этажа в 1 подъезде, напротив лифта
1346480;02.01.2023 13:18;89047c9b-b64c-4839-80c5-de8d47312c7e;Заменить эл.счетчик на квартиру, сгорел, Адс соединила напрямую.
1346481;02.01.2023 13:19;1d560926-0842-47a4-be01-0c769b993dbe;Составить акт о протопе соседями сверху в туалете.
1346483;02.01.2023 13:24;2508d377-c5bf-4aee-94cd-a56b61903a4c;Течь с кровли в коридоре квартиры и в ванной комнате.
1346485;02.01.2023 13:27;97b83abf-e200-4110-8825-2bf9e0ed184a;Течь с кровли в ванной комнате и в общем коридоре
1346491;02.01.2023 13:44;79634954-aa18-4124-b5d3-dd315e5812e2;Течь с кровли в туалете.
1346492;02.01.2023 13:45;8a139af6-8468-44bd-88fc-32883fe64ef0;Засор мусоропровода на 2 этаже
1346493;02.01.2023 13:50;1d560926-0842-47a4-be01-0c769b993dbe;Составить акт о протопе  сверху в туалете, в связи с м\э течь. стояка КНС, м\у 93 и 90 кв.
1346497;02.01.2023 14:10;b1ab4cb9-3502-4c37-9a47-46f482a5dc55;течь кровли  в районе системы отопления
1346502;02.01.2023 14:25;a3b02e79-7d70-423f-b318-5d1516f2a9a2;течь кровли на л/пл в п №3
1346505;02.01.2023 14:41;2508d377-c5bf-4aee-94cd-a56b61903a4c;Течь с кровли в коридоре квартиры и в ванной комнате.
1346508;2023-01-02 14:50:55.074;b1ab4cb9-3502-4c37-9a47-46f482a5dc55;течь кровли
1346511;02.01.2023 15:00;0da15dd9-405f-4e8c-9fd1-d61515d42cb8;п №1 не раб.лифт, на 2 эт стоит
1346521;02.01.2023 16:02;f1f0c74f-ef36-4f28-9dad-96d9664dd6f2;Течь кровли в ком.203,мокнет проводка
1346522;02.01.2023 16:11;66b2d248-bd1b-45ce-85c5-8880c9e03567;течь кровли  в зале и в  прихожке,где вытяжка по шву
1346523;2023-01-02 16:13:58.050;66b2d248-bd1b-45ce-85c5-8880c9e03567;технику составить акт о протечке с кровли
1346526;02.01.2023 16:36;eebac655-b830-4e48-b7c0-f86d9a494ba3;пожар  на кровле дома
1346534;02.01.2023 17:01;f1e1b2ef-9c58-4c0b-a82d-3407016896fb;течь кровли  в спальне
1346536;02.01.2023 17:09;bb80235a-f3b7-40cf-830d-81acd5a89a2b;п № 3 в тамбуре нет света
1346537;02.01.2023 17:10;c992015d-efbc-46a1-b160-4d07669dc676;нет света в квартире
1346547;02.01.2023 18:24;fce2db74-28a4-4eac-95a6-c1269270601c;п №1 не раб.лифт
1346549;02.01.2023 18:49;a09a11ff-41eb-433f-a6da-f4304fc3f4e5;Течь с кровли ,с балкона на кухне
1346553;02.01.2023 19:44;47a84439-bd30-45fd-af3f-cac6e7b64888;Сработала пожарная сигнализация во 2 подъезде 
1346554;02.01.2023 20:10;356850a9-928a-4bab-b6ff-9a9e07f4ac3d;Х/Б в квартире 
1346570;03.01.2023 7:20;be24280b-3eb6-4a6d-861c-90275e8ba270;Чуть теплые батареи кухне Х/З 
1346573;03.01.2023 8:13;8012f310-1e2b-4299-ab17-e526bb68920b;Горит квартира, нужен электрик
1346574;03.01.2023 8:34;4274d56e-dfd2-4216-922b-907c4bba6772;Шум по стояку отопления ( сильный гул)
1346579;03.01.2023 8:57;9579d8c8-5ec1-4fd8-a060-fd12105fbe47;Замена лампы на 1 эт около лифта
1346582;03.01.2023 9:20;4ab3a7bf-c818-49b5-819d-a7118307b805;Сломан домофон на входной двери 
1346584;03.01.2023 9:37;6b9258c0-db10-43f1-8803-f6b376104178;Мех.уборка придомовой территории
1346587;03.01.2023 9:44;3305e947-6dbe-43ed-9e6e-c357f4c93b45;Течь батареи на кухне
1346590;03.01.2023 9:55;3f83e584-5cf9-49e3-b0e0-ad17de48a10d;Течь кровли
1346593;03.01.2023 10:04;a31e8619-5cab-4bcf-af43-444587ad448c;Х/Б в комнате 
1346597;2023-01-03 10:11:58.024;c1c6e9fb-cbac-4cf1-bddb-97679da9fd35;Х/Б на кухне, Х/З
1346609;03.01.2023 11:00;22e7b113-ab05-4ff1-867a-7abac04f1917;Опломбировка счетчика ХВС
1346614;03.01.2023 11:19;e63087c2-dda6-4d66-979f-f6a5989f4c8a;Убрать придомовую территорию от наледи 
1346616;03.01.2023 11:34;196eccc6-82f1-4d06-8b49-ffb152f848b3;Течь кровли в квартире, в подъезде
1346619;03.01.2023 11:41;96db4ee3-d1da-4708-975e-71af57c0732c;Искрит счетчик , запах горелой проводки
1346632;03.01.2023 12:23;60b801ae-cfaa-43e8-8d91-91bdb3b216a4;Не работает домофон в квартире
1346634;03.01.2023 12:29;b13bba64-2e2c-4b47-91c1-5a741088977c;Течь батареи
1346639;03.01.2023 12:49;8012f310-1e2b-4299-ab17-e526bb68920b;Подключить домофоны в кв 416, 415, 412,  после пожара
1346650;03.01.2023 13:30;be24280b-3eb6-4a6d-861c-90275e8ba270;Х/Б на кухне, Х/З
1346653;03.01.2023 13:39;1c329341-c0f6-4321-b2f0-4211a25b1f9e;Почистить ливневку  во дворе около 1 под., стоит вода.
1346661;03.01.2023 14:06;a09a11ff-41eb-433f-a6da-f4304fc3f4e5;Х/Б на кухне, в зале чуть теплые.
1346663;03.01.2023 14:10;e86aae9a-45f6-4dff-8c90-22f998fb82ff;Х/Б кухня и Х/З
1346673;03.01.2023 14:42;ea97fdaf-3f42-4ae8-955f-8d14d6df984c;Забит мусоропровод на всех этажах. Уже сильный запах, срочно нужно прочистить.
1346678;03.01.2023 15:00;c5534648-b719-4dfe-8530-6498a4c086d4;Течь по стене над окном, где балконная дверь.
1346684;03.01.2023 15:25;28f334f7-0e10-46cd-b560-a29a49c198f4;Чуть теплые батареи во всей квартире
1346691;03.01.2023 15:55;d3a20645-d142-427d-8b61-377ae1dc16b8;Х/Б во всей квартире
1346695;03.01.2023 16:17;8ef884fe-e7c9-444f-bd0a-273e2975ecca;Во дворе дома гололед, посыпать песком.
1346697;03.01.2023 16:21;05cebd67-8862-4eaf-95db-6ad109967806;Запах гари из розетки, пропал свет в комнате.
1346702;03.01.2023 17:03;a649e12e-99d1-4ce1-b273-1f972f6e7bf9;Занести в реестр машину с номером Н473АС 797,  чтобы шлагбаум открылся.
1346715;03.01.2023 18:34;7fb5d44b-ddc9-4667-a0ea-4ab8ebc5c1dd;Очистить придомовую территорию от наледи
1346716;2023-01-03 18:37:45.089;1d560926-0842-47a4-be01-0c769b993dbe;Во дворе вода со льдом, невозможно выйти из дома.
1346717;03.01.2023 18:39;5340ccbb-db9b-402a-9fee-d6265fb13796;Не очищена придомовая территория от наледи.
1346718;03.01.2023 18:40;2a77443a-20d2-4d19-82eb-24657958f64e;Не очищена придомовая территория от наледи.
1346719;03.01.2023 18:40;c3c5b337-940e-4bf3-af7c-4c3c92992c05;Не очищена придомовая территория от наледи.
1346726;03.01.2023 19:41;2a77443a-20d2-4d19-82eb-24657958f64e;Не очищена придомовая территория от наледи.
1346728;03.01.2023 19:43;5340ccbb-db9b-402a-9fee-d6265fb13796;Не очищена придомовая территория от наледи.
1346741;03.01.2023 22:36;8a5ba34e-98b2-42dd-8ee7-a83e2fc69efa;затопило балкон на 1эт,в рез-те течи с козырька магазина
1346744;04.01.2023 1:56;c77c8ad4-945b-40c5-9642-2a18f0766b36;Мех.уборка прид.территории
1346756;04.01.2023 8:20;9046e370-fa2d-439a-aeb2-21102eca4fff;Течь с кровли в прихожей над входной дверью.
1346770;04.01.2023 8:52;e9eb42b5-40b1-459b-b75d-00e01b3dca51;Перегорела лампочка на крыльце 4 подъезда, заменить.
1346773;2023-01-04 09:02:03.028;d3a20645-d142-427d-8b61-377ae1dc16b8;В первом подъезде на площадке между 3 и 4 этажами выбили стекло в окне. Заделать.
1346793;04.01.2023 9:42;c77c8ad4-945b-40c5-9642-2a18f0766b36;Мех.уборка прид.территории
1346794;04.01.2023 9:46;530314c2-29e1-4471-bbf1-58738a9e2859;Очистить придомовую территорию от снега
1346809;04.01.2023 10:12;e86aae9a-45f6-4dff-8c90-22f998fb82ff;"Х/Б на кухне и Х/З в квартирах №24; 27; 30; 33. АДС не смогли пробить, возможно, забита где-то батарея, отсутствует циркуляция."
1346825;04.01.2023 10:34;196eccc6-82f1-4d06-8b49-ffb152f848b3;Течет кровля в подъезд № 3 и №4. В квартирах № 108 141, где балконная дверь
1346831;04.01.2023 10:40;196eccc6-82f1-4d06-8b49-ffb152f848b3;Очистить придомовую территорию от снега
1346838;04.01.2023 10:50;e1c09149-637f-41db-a88e-2e57ee423b97;Х/З по стояку
1346845;04.01.2023 11:10;43ef53e2-f601-45c9-b05e-938920fa7e03;При входе во втором подъезде утеплить трубы ЦО.
1346847;04.01.2023 11:12;8012f310-1e2b-4299-ab17-e526bb68920b;Нет света в подъезде на 4 этаже после пожара
1346856;04.01.2023 11:29;196eccc6-82f1-4d06-8b49-ffb152f848b3;Очистить от снега и наледи придомовую территорию.
1346862;04.01.2023 11:37;8012f310-1e2b-4299-ab17-e526bb68920b;Не работает домофон во всем подъезде
1346881;04.01.2023 12:28;a7ac2f9d-fd78-49df-81e0-191ee192f11d;Х/Б на кухне
1346890;04.01.2023 12:52;8627d669-0dd2-4241-8e79-75687439af39;Очистить антенну на крыше от снега. Открыть люк на крышу.
1346913;04.01.2023 14:11;a649e12e-99d1-4ce1-b273-1f972f6e7bf9;Заказать 3 ключа от домофона
1346920;2023-01-04 14:25:59.035;a3b02e79-7d70-423f-b318-5d1516f2a9a2;Течь кровли
1346923;04.01.2023 14:32;c1cb2572-87f2-4f52-8d19-5f369510b1e5;Очистить придомовую территорию от снега.
1346928;04.01.2023 14:50;caf247f7-3e79-4c7f-8641-9ebdd3dce10a;Во 2 подъезде застряли люди в лифте
1346940;04.01.2023 15:07;d4de98b0-75af-463a-a4f1-f353748b00b2;Опломбировать счетчик ХВС
1346941;04.01.2023 15:08;530314c2-29e1-4471-bbf1-58738a9e2859;Очистить придомовую территорию 
1346953;04.01.2023 15:31;d66b23d1-04ca-490d-ad27-ae11032c53ed;Течь кровли. Составить акт.
1346968;04.01.2023 16:07;e0fa6e5a-8a6a-4ea2-a984-b45b156c5d45;Течь кровли (санузел). Топят нижние этажи.
1346969;04.01.2023 16:11;b4770cc7-3ddb-459a-925b-7788a7741b6a;Задымление проводкой. Мигает свет.
1346975;2023-01-04 16:20:33.097;d7642d83-c88a-43f1-a0b4-012378191b6d;Устранить течь внутридомовой сети ЦО в подвале дома (в связи с утечкой). 
1346992;04.01.2023 17:11;b4770cc7-3ddb-459a-925b-7788a7741b6a;Аварийка выезжала произвела ремонт распред. коробки в подвале. Требуется замена эл.проводов в подвале.
1347000;04.01.2023 17:32;e82b84f2-ee2d-40bb-a4a1-cb0c23431a62;Во 2 подъезде на 2 этаже мигает лампочка (светодиодная) общий коридор
1347001;04.01.2023 17:35;8012f310-1e2b-4299-ab17-e526bb68920b;Течь кровли
1347003;04.01.2023 17:38;8012f310-1e2b-4299-ab17-e526bb68920b;Течь кровли в квартире.
1347006;04.01.2023 18:06;fc322ca5-739f-4701-a5cd-4800df874872;В 4 подъезде 6 этаж забит мусоропровод
1347022;04.01.2023 18:48;b906ceca-80ea-4686-baa7-aca740e11513;Течь кровли.
1347039;04.01.2023 19:34;fe6bc411-d85b-4723-83e6-4ef7769b2ef1;Х/Б на кухне, в спальне
1347049;04.01.2023 19:58;fe6bc411-d85b-4723-83e6-4ef7769b2ef1;Х/Б в спальне, на кухне по стояку
1347073;05.01.2023 3:12;bdbc5938-aa5b-4caf-8bd1-4f7db9973bb4;Течь змеевика
1347074;2023-01-05 05:36:14.037;933e7cdc-f44a-4145-9401-86f74580af56;Течь кровли
1347088;2023-01-05 07:59:04.034;9579d8c8-5ec1-4fd8-a060-fd12105fbe47;Нет освещения на 9 и 11 этажах возле лифта во 2 подъезде
1347090;05.01.2023 8:16;ae669ab8-4463-4b94-96ac-ae9ab6768790;Свищ на трубе ЦО в подвале
1347109;05.01.2023 9:18;83b8a503-2920-496a-8bfe-896c68225e8b;Замкнуло в эл.розетке, отключился автомат.
1347112;05.01.2023 9:24;8dbdaf40-0c1f-42fe-b16b-e83e7a6b60f6;Требуется замена стояка ХВС 4 м Ф 25 от квартиры до подвала.
1347127;2023-01-05 10:03:24.091;d6b3bdfa-e147-46a1-bee9-5e3cf638564a;Составить акт о протечке с кровли 02.01. , провис натяжной потолок в комнате.
1347128;05.01.2023 10:04;d6b3bdfa-e147-46a1-bee9-5e3cf638564a;Течь с кровли в комнате продолжается, почистить крышу от снега
1347134;05.01.2023 10:09;532f1234-a77f-454b-817e-3143d73104b0;Заменить сгон Ф 25 по стояку ХВС под 40 кв. и открыть стояк ХВС по ванной
1347151;05.01.2023 10:25;a649e12e-99d1-4ce1-b273-1f972f6e7bf9;Нужны 2 ключа от домофонной двери.
1347154;2023-01-05 10:27:10.081;2a26953f-4b1c-42b2-9953-72372ba80d4b;Не работает лифт во 2 под., не закрываются двери на 3 этаже
1347163;05.01.2023 10:40;3cd9a920-fcbe-4274-981e-ceb3c635a439;Х/Б  в квартире , котел работает.
1347164;05.01.2023 10:44;97431017-d37c-4478-b319-6a4530b787f0;Выдернули плато на домофонной двери 2 подъезда, висит на эл.проводах
1347167;05.01.2023 10:53;8012f310-1e2b-4299-ab17-e526bb68920b;Не работает домофон в квартире после пожара
1347175;05.01.2023 11:15;b7d88cb2-9519-4c01-bee9-9bdd0976b842;Проверить эл.счетчик на несанкционированное подключение .
1347180;05.01.2023 11:27;9fd51105-5a87-495c-b8b6-2daf596d6c4a;Нужны 3 ключа от домофонной двери
1347183;05.01.2023 11:32;9f8c4b9c-80e1-48b2-af6b-9388dfa4331c;Засор мусоропровода в районе 6, 7 этажей
1347187;05.01.2023 11:43;3b4563a3-7bcf-4fcc-ab12-2d8ef38c45c8;Нет э\снабжения в половине квартиры, проверить эл.проводку в квартире.
1347188;05.01.2023 11:47;9fd51105-5a87-495c-b8b6-2daf596d6c4a;Проверить автомат на квартиру, не срабатывает реле отключения автомата, сгорела эл.плита
1347191;05.01.2023 11:50;5e73bc3c-9a5c-43e1-b979-37e7b4707021;Нет э/снабжения в квартире
1347197;05.01.2023 12:03;3f6d3e5c-8008-421d-a008-094a2fcd49f1;Нужны 2 домофонных ключа
1347199;05.01.2023 12:05;9f8c4b9c-80e1-48b2-af6b-9388dfa4331c;Засор мусоропровода в районе 6, 7 этажей в 3  под.
1347202;05.01.2023 12:12;167a1df1-882a-439a-8119-19991d89d7c6;Не работает домофон во 2 квартире
1347206;05.01.2023 12:18;f57cf6c8-0dbd-48c0-991e-2087897e2d8d;Не работает лифт во 2 подъезде
1347220;05.01.2023 12:59;8ef884fe-e7c9-444f-bd0a-273e2975ecca;Почистить от наледи придомовую территорию
1347226;05.01.2023 13:34;8012f310-1e2b-4299-ab17-e526bb68920b;Закрыть окно в комнате рядом в 21 кв. где был пожар, сильно дует, замерзнут трубы.
1347227;05.01.2023 13:38;8012f310-1e2b-4299-ab17-e526bb68920b;Закрыть окно в комнате рядом в 21 кв. где был пожар, сильно дует, замерзнут трубы.
1347242;05.01.2023 14:43;3f6d3e5c-8008-421d-a008-094a2fcd49f1;Нужен 1 ключ от домофона 
1347249;05.01.2023 15:04;7ec6b821-35f9-41da-be1f-8b7269034c6a;Чуть теплые батареи в квартире 
1347256;2023-01-05 16:14:37.006;6d0ee6df-17ac-41a9-b9db-751be23d5970;Замыкание в эл. щитке 
1347282;2023-01-05 18:36:12.064;6b22ce19-84b1-4dec-90bf-54c17592d061;Нет света в квартире (частично) 
1347315;05.01.2023 22:52;a4b0fada-c9b5-4822-bc5e-5eb22a471293;Застряли люди в лифте 3 подъезда
1347331;06.01.2023 7:20;8dbdaf40-0c1f-42fe-b16b-e83e7a6b60f6;Нет эл.энергии в квартире (выбивает автомат).
1347369;06.01.2023 9:43;8dbdaf40-0c1f-42fe-b16b-e83e7a6b60f6;Заменить автомат на эл.счетчике, сгорел, сидим без э/э
1347375;06.01.2023 9:55;1d560926-0842-47a4-be01-0c769b993dbe;Огромная лужа перед 1 подъездом и  со стороны маг. Комета, трудно подойти и подъехать к дому
1347392;06.01.2023 10:42;167a1df1-882a-439a-8119-19991d89d7c6;Заклинило двери лифта на 1 этаже во 2 подъезде
1347403;06.01.2023 11:05;1d560926-0842-47a4-be01-0c769b993dbe;Огромная лужа перед 1 подъездом и  со стороны маг. Комета, трудно подойти и подъехать к дому
1347406;06.01.2023 11:09;ea97fdaf-3f42-4ae8-955f-8d14d6df984c;Засор мусоропровода на 6 этаже 
1347410;06.01.2023 11:19;1d560926-0842-47a4-be01-0c769b993dbe;Не работает доводчик на домофонной двери 1 подъезда, дверь не закрывается полностью
1347412;06.01.2023 11:21;ee0eeb09-a390-4774-9146-fadd1a7d487c;Течь  трубы ЦО в спальне
1347413;06.01.2023 11:25;9fd51105-5a87-495c-b8b6-2daf596d6c4a;Не отключаются общие автоматы на эл.щитке на 2 квартиры, не могу поменять автомат на свою квартиру
1347415;2023-01-06 11:27:09.022;e82b84f2-ee2d-40bb-a4a1-cb0c23431a62;Нет освещения на л\площадке 2 этажа во 2 подъезде
1347417;06.01.2023 11:36;727ce93c-1e4a-43e7-a9a4-07274dabe8a1;Засор мусоропровода на 4 этаже во 2 подъезде
1347425;06.01.2023 12:01;5e73bc3c-9a5c-43e1-b979-37e7b4707021;Составить акт осмотра ванной комнаты после протопа соседями сверху 
1347428;06.01.2023 12:06;5e73bc3c-9a5c-43e1-b979-37e7b4707021;Составить акт осмотра ванной комнаты после протопа соседями сверху 
1347429;06.01.2023 12:08;aa13b9ce-a041-46db-8aa4-155ff6048a50;Составить акт осмотра стен в зале и на кухне (мокнут и плесень по стенам) для последующей заделки м/п швов.
1347430;2023-01-06 12:14:41.070;8bc8ad35-97c2-4c5a-b06c-a20865d1cc94;Подключить э/снабжение в квартире после оплаты долгов
1347432;06.01.2023 12:18;8bc8ad35-97c2-4c5a-b06c-a20865d1cc94;Свищ на трубе ЦО на кухне, подтекает, заменить часть трубы, ржавая вся, старая.
1347436;06.01.2023 12:22;8bc8ad35-97c2-4c5a-b06c-a20865d1cc94;Подключить э/снабжение в квартире после оплаты долгов
1347444;06.01.2023 12:47;261f583f-faf3-48f9-954c-ff912773b876;Сбрасывается вызов в квартиру с домофона
1347448;06.01.2023 12:55;e1c09149-637f-41db-a88e-2e57ee423b97;Почистить наледь и снег перед 6 подъездом
1347449;06.01.2023 12:56;261f583f-faf3-48f9-954c-ff912773b876;Сбрасывается вызов в квартиру с домофона
1347452;06.01.2023 13:01;a3b02e79-7d70-423f-b318-5d1516f2a9a2;Течь с кровли на эл.щиток в 3 под. 
1347455;06.01.2023 13:08;a3b02e79-7d70-423f-b318-5d1516f2a9a2;Течь с кровли на эл.щиток в 3 под. 
1347461;06.01.2023 13:24;250821bd-8162-4fa0-90a2-77151e6ce4b7;Снег не убран(проезжая часть, крыльцо, входные группы), под слоем снега корка льда, травмоопасна , колейность , скамейки и урны не очищены.Составить акт, копию переслать заявителю
1347465;06.01.2023 13:37;43ef53e2-f601-45c9-b05e-938920fa7e03;Мехуборка придомовой территории
1347467;06.01.2023 13:43;a019ed21-c848-446d-a34c-78f000937e98;Застряли в кабине лифта в 3 подъезде
1347469;06.01.2023 13:52;de6baf4a-3932-48f0-8a91-27bb7716444c;чуть теплые батареи
1347470;2023-01-06 13:55:45.082;be24280b-3eb6-4a6d-861c-90275e8ba270;х/б кухня,х/з
1347471;2023-01-06 13:57:45.060;29f15794-837d-4393-b8c2-f72a55aed39a;закрыть подачу гвс и цо в домах,в связи с порывом
1347473;2023-01-06 13:58:45.082;6a331bc5-9d9a-4f1b-8fc5-797c1eabb7aa;закрыть подачу гвс и цо в домах,в связи с порывом
1347477;06.01.2023 14:03;0ea9b674-c6c0-453d-9d1d-ea52b8f2dc9e;закрыть подачу гвс и цо в домах,в связи с порывом
1347486;06.01.2023 14:32;592c0ef3-2239-4d8f-9d28-dd94d6633825;не раб.домофонная трубка,с квартиры  не открывает дверь
1347489;06.01.2023 14:53;55c11c9d-57ae-4821-aa71-c03d174ef4c8;обуглилась прповодка в эл.щитке
1347492;06.01.2023 15:05;a3fd4168-0808-40fa-9f85-d095b2e51a36;искрит на кухне провод
1347498;06.01.2023 15:34;a3fd4168-0808-40fa-9f85-d095b2e51a36;искрит на кухне провод
1347502;06.01.2023 15:38;e226800b-6abb-434f-8e09-4332522ba731;батареи верх чуть теплый,а низ  холодный
1347504;06.01.2023 15:48;b2f62e5c-9b07-4114-8df5-426fd6d8586c;не раб.домофон на квартиру и нужен 1 ключ от домофона
1347530;06.01.2023 17:47;92a6d9c7-6251-43ff-a6f1-10eb04b138dc;п №4 не раб.лифт
1347531;06.01.2023 18:05;357c9564-d3b2-4d90-bf60-74868b63a201;закрепить эл.провода в подъезде и не горит лампочка на 2 эт
1347536;06.01.2023 18:30;5b5d0f68-23fa-4b4e-beb8-1bf1c679e4ea;х/б спальня
1347541;2023-01-06 18:55:27.023;27a542ba-12f8-4f25-96d8-3bca378eec2e;х/б кухня 
1347569;06.01.2023 20:58;be24280b-3eb6-4a6d-861c-90275e8ba270;Х/Б кухня Х/З 
1347572;06.01.2023 21:17;b84808d4-8931-4284-9dca-e77ccaea51b0;Х/Б в спальной 
1347575;06.01.2023 21:20;46807af3-1ae8-4629-834a-fd4337d4e2d1;Х/Б зал стояк с балконом 
1347579;06.01.2023 21:31;c1c6e9fb-cbac-4cf1-bddb-97679da9fd35;Х/б в доме 
1347583;06.01.2023 21:41;7ae04fa5-9d52-42dd-9bb6-7f45ec059654;Х/Б в спальной 
1347585;06.01.2023 21:48;b84808d4-8931-4284-9dca-e77ccaea51b0;Х/б в квартире 
1347586;06.01.2023 21:55;1180c488-99f9-4264-b8a8-71b8e014bd09;Течь батареи на 1эт во 2 подъезде 
1347587;06.01.2023 21:56;b84808d4-8931-4284-9dca-e77ccaea51b0;Х/Б в квартире 
1347588;06.01.2023 22:16;0ea9b674-c6c0-453d-9d1d-ea52b8f2dc9e;Х/б в квартире 
1347591;2023-01-06 22:44:08.036;c1c6e9fb-cbac-4cf1-bddb-97679da9fd35;Остывают батареи  в доме 
1347592;06.01.2023 22:52;6a331bc5-9d9a-4f1b-8fc5-797c1eabb7aa;Х/Б в квартире 
1347593;06.01.2023 23:13;c1c6e9fb-cbac-4cf1-bddb-97679da9fd35;Х/Б в доме 
1347605;07.01.2023 1:17;a3fd4168-0808-40fa-9f85-d095b2e51a36;пожар в 1 подвале 
1347606;07.01.2023 1:36;b4a75182-7490-4605-be2e-df8d7da4282f;Х/Б Зал спальня 
